num_points,threads,pi_estimate,execution_time,precision
1000,4,3.152000,0.001000,0.010407
10000,4,3.068800,0.000000,0.072793
100000,4,3.130400,0.001000,0.011193
1000000,4,3.142592,0.008000,0.000999
10000000,4,3.139459,0.069000,0.002133
1000,8,3.088000,0.001000,0.053593
10000,8,3.137600,0.000000,0.003993
100000,8,3.139360,0.000000,0.002233
1000000,8,3.139936,0.007000,0.001657
10000000,8,3.141717,0.043000,0.000124
1000,16,3.296000,0.001000,0.154407
10000,16,3.112000,0.000000,0.029593
100000,16,3.128160,0.000000,0.013433
1000000,16,3.138656,0.005000,0.002937
10000000,16,3.141011,0.036000,0.000581
